site_id,"(0,5]","(5,10]","(10,15]","(15,20]","(20,25]","(25,30]","(30,35]","(35,40]",cluster,cluster_label
10,0.375,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
130,0.821428571,0.071428571,0.071428571,0.035714286,0.0,0.0,0.0,0.0,3,0–5m dominant
131,0.139344262,0.295081967,0.18852459,0.327868852,0.049180328,0.0,0.0,0.0,1,10–15m dominant
133,0.214285714,0.642857143,0.142857143,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
14,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,3,0–5m dominant
147,0.321428571,0.178571429,0.428571429,0.071428571,0.0,0.0,0.0,0.0,1,10–15m dominant
18,0.333333333,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,1,10–15m dominant
21,0.127272727,0.436363636,0.290909091,0.145454545,0.0,0.0,0.0,0.0,1,10–15m dominant
41,0.816666667,0.183333333,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
44,0.263157895,0.552631579,0.184210526,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
46,0.4,0.533333333,0.066666667,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
47,0.636363636,0.363636364,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
48,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
49,0.545454545,0.409090909,0.045454545,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
6,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AAD004,0.039312039,0.447174447,0.432432432,0.049140049,0.01965602,0.012285012,0.0,0.0,1,10–15m dominant
AAE001,0.353497164,0.434782609,0.206049149,0.005671078,0.0,0.0,0.0,0.0,0,5–10m dominant
AAE002,0.382352941,0.5,0.117647059,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AAF00101,0.386052304,0.382316314,0.222914072,0.00871731,0.0,0.0,0.0,0.0,0,5–10m dominant
AAF00102,0.666666667,0.222903885,0.104294479,0.006134969,0.0,0.0,0.0,0.0,3,0–5m dominant
AAI001,0.188118812,0.633663366,0.178217822,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AAI002,0.52559727,0.155858931,0.263936291,0.054607509,0.0,0.0,0.0,0.0,1,10–15m dominant
AAI003,0.555555556,0.333333333,0.111111111,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AAK004,0.595419847,0.29389313,0.091603053,0.019083969,0.0,0.0,0.0,0.0,3,0–5m dominant
AAL001,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
AAL002,0.0,0.145454545,0.854545455,0.0,0.0,0.0,0.0,0.0,1,10–15m dominant
AAL003,0.210526316,0.416267943,0.339712919,0.019138756,0.014354067,0.0,0.0,0.0,1,10–15m dominant
AAL005,0.108734403,0.212121212,0.306595365,0.185383244,0.124777184,0.051693405,0.010695187,0.0,4,0–25m mixed structure
AAL006,0.773533007,0.089547677,0.053484108,0.042787286,0.018031785,0.009168704,0.005501222,0.004889976,3,0–5m dominant
AAL007,0.739316239,0.08974359,0.094017094,0.076923077,0.0,0.0,0.0,0.0,3,0–5m dominant
AAP001,0.897435897,0.076923077,0.025641026,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
AAS006,0.317535545,0.449052133,0.226303318,0.007109005,0.0,0.0,0.0,0.0,0,5–10m dominant
ACA002,0.164079823,0.44789357,0.381374723,0.00443459,0.0,0.002217295,0.0,0.0,1,10–15m dominant
ACA003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACA004,0.222036728,0.751252087,0.023372287,0.003338898,0.0,0.0,0.0,0.0,0,5–10m dominant
ACA005,0.478070175,0.307017544,0.074561404,0.01754386,0.043859649,0.061403509,0.01754386,0.0,4,0–25m mixed structure
ACA006,0.184,0.736,0.08,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACA009,0.564102564,0.166666667,0.259615385,0.009615385,0.0,0.0,0.0,0.0,3,0–5m dominant
ACA010,0.444444444,0.555555556,0.0,0.0,0.0,0.0,0.0,0.0,0,5–10m dominant
ACB002,0.467538533,0.4026156,0.110695936,0.017281644,0.001401214,0.000467071,0.0,0.0,0,5–10m dominant
ACB252,0.996108949,0.003891051,0.0,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACB503,0.851528384,0.139737991,0.008733624,0.0,0.0,0.0,0.0,0.0,3,0–5m dominant
ACB504,0.175660161,0.475315729,0.343283582,0.005740528,0.0,0.0,0.0,0.0,0,5–10m dominant
ACB505,0.031496063,0.354330709,0.614173228,0.0,0.0,0.0,0.0,0.0,1,10–15m dominant
ACB506,0.33482142875,0.43526785725,0.0669642855,0.1674107142499999,0.0,0.0,0.0,0.0,0,5–10m dominant
ACD001,0.210526316,0.210526316,0.368421053,0.210526316,0.0,0.0,0.0,0.0,1,10–15m dominant
ACD005,0.458099712,0.333573269,0.181239582,0.016214578,0.005000758,0.003750568,0.001704804,0.000340961,0,5–10m dominant
ACD018,0.602685231,0.158627548,0.139234212,0.091994033,0.007458976,0.0,0.0,0.0,3,0–5m dominant
ACD020,0.290874525,0.385931559,0.321292776,0.001901141,0.0,0.0,0.0,0.0,0,5–10m dominant
ACD023,0.100775194,0.359173127,0.519379845,0.020671835,0.0,0.0,0.0,0.0,1,10–15m dominant
ACE001,0.072512648,0.501967397,0.413715571,0.010680157,0.0,0.001124227,0.0,0.0,1,10–15m dominant
ACE004,0.039119804,0.534229829,0.41198044,0.012224939,0.002444988,0.0,0.0,0.0,1,10–15m dominant
